article_id,prod_name,category,perceived_colour_master_name,detail_desc
D000001,Sequin Ballgown,Evening,Gold,"Stunning floor-length ballgown with all-over sequin embellishment. Features a sweetheart neckline, corset back, and full tulle underskirt. Built-in boning provides structure. Perfect for galas and formal events."
D000002,Velvet Mermaid Dress,Evening,Burgundy,Luxurious velvet mermaid dress with deep V-neckline and open back. Fitted through hips with dramatic flare. Features crystal beading at waist and shoulder straps.
D000003,Satin Evening Gown,Evening,Emerald,Classic satin evening gown with cowl neck and elegant draped back. Side slit and sweep train add drama. Internal structure provides support.
D000004,Beaded Column Dress,Evening,Silver,"Sleek column dress with intricate beading throughout. High neck, cap sleeves, and side slit. Vintage-inspired art deco pattern."
D000005,Chiffon Cape Dress,Evening,Navy,Sophisticated dress with attached flowing cape. Floor length with gentle gathering. Empire waist and subtle beading.
D000006,Ruched Mini Dress,Cocktail,Black,Form-fitting mini dress with strategic ruching. Asymmetrical neckline and single long sleeve. Made from luxury stretch fabric.
D000007,Pleated Party Dress,Cocktail,Red,Playful party dress with knife pleats throughout. Fit and flare silhouette with bow detail at waist. Hidden pockets.
D000008,Metallic Wrap Dress,Cocktail,Rose Gold,Shimmering metallic wrap dress perfect for cocktail parties. Adjustable waist tie and flutter sleeves. Above-knee length.
D000009,Lace Cocktail Dress,Cocktail,Wine,"Classic cocktail dress in delicate lace. Scalloped V-neck and hem, cap sleeves. Lined in soft jersey."
D000010,Ruffled Mini Dress,Cocktail,Electric Blue,Fun and flirty mini dress with cascading ruffles. One-shoulder design with side zip. Perfect for parties.
D000011,Tailored Sheath Dress,Work,Charcoal,Professional sheath dress in wool blend suiting fabric. Subtle dart detailing and back vent. Perfect for business meetings.
D000012,Button-Front Shirt Dress,Work,White,Classic shirt dress with button-front closure. Belt defines waist. Made from wrinkle-resistant cotton blend.
D000013,Structured A-Line Dress,Work,Navy,Polished A-line dress with princess seams. Three-quarter sleeves and knee length. Hidden back zip.
D000014,Ponte Knit Dress,Work,Black,Comfortable yet professional dress in stable ponte knit. Slight stretch with clean lines. Machine washable.
D000015,Blazer Dress,Work,Grey,Sophisticated blazer dress with peaked lapels. Double-breasted button closure. Perfect for power meetings.
D000016,T-Shirt Dress,Casual,Heather Grey,Easy-wearing T-shirt dress in soft jersey. Side slits and chest pocket. Perfect for weekend errands.
D000017,Denim Shirt Dress,Casual,Light Wash,Casual denim dress with snap closures. Roll-tab sleeves and self-belt. Western-inspired details.
D000018,Knit Sweater Dress,Casual,Oatmeal,Cozy sweater dress in chunky cotton knit. Ribbed trim and kangaroo pocket. Perfect for cool days.
